Size,TimeSeconds,Cost
2,0.0,54
2,0.0,10
2,0.0,22
2,0.0,47
2,0.0,14
3,0.0,16
3,0.0,49
3,0.002052,24
3,0.0,52
3,0.0,41
4,0.003388,16
4,0.0,33
4,0.0,70
4,0.0,48
4,0.0,38
5,0.002334,80
5,0.001453,53
5,0.0,20
5,0.000422,26
5,0.0,59
6,0.0,74
6,0.0,58
6,0.01293,47
6,0.0,52
6,0.0,81
7,0.009492,73
7,0.012387,70
7,0.013982,63
7,0.003168,55
7,0.0,52
8,0.04455,82
8,0.0,59
8,0.10063,97
8,0.163735,105
8,0.006419,32
9,0.542613,87
9,0.037889,65
9,0.014568,47
9,0.114065,70
9,0.180002,64
10,0.614529,68
10,0.918515,72
10,0.418594,69
10,2.732351,86
10,0.484709,76
11,0.582167,61
11,17.011967,93
11,4.001428,73
11,2.399363,88
11,3.857536,82
12,6.720314,79
12,13.583287,108
12,228.605541,116
12,4.89147,67
12,2.067325,61
13,16.507951,67
13,1.938129,62
13,375.355434,109
13,124.207049,99
13,75.484016,92
