rep,n,best_fit,time_taken,time_till_best,initial_fitness,time_limit_s,initial,initial_size,neighbor,no_impro_iter
0,20,18703,0.090217,0.044099,45648,10,group,10,wide,1000
0,40,101339,0.269325,0.207363,177436,10,group,10,wide,1000
0,60,285742,0.376575,0.301757,467110,10,group,10,wide,1000
0,80,502689,1.040789,0.970464,832273,10,group,10,wide,1000
0,100,715139,1.458434,1.367346,1211119,10,group,10,wide,1000
1,20,10607,0.076156,0.035789,20634,10,group,10,wide,1000
1,40,87917,0.284339,0.226355,167849,10,group,10,wide,1000
1,60,279719,0.44115,0.373618,464999,10,group,10,wide,1000
1,80,526395,0.90871,0.833588,843610,10,group,10,wide,1000
1,100,713882,1.832621,1.732403,1292730,10,group,10,wide,1000
2,20,19646,0.068694,0.024672,31391,10,group,10,wide,1000
2,40,98700,0.216738,0.165406,158177,10,group,10,wide,1000
2,60,349016,0.615233,0.549935,522024,10,group,10,wide,1000
2,80,354177,0.908556,0.836692,663050,10,group,10,wide,1000
2,100,754293,1.649259,1.550011,1310320,10,group,10,wide,1000
3,20,20642,0.067902,0.025367,28578,10,group,10,wide,1000
3,40,132972,0.223824,0.166151,229602,10,group,10,wide,1000
3,60,282381,0.533386,0.466434,469461,10,group,10,wide,1000
3,80,340927,1.175,1.10314,633407,10,group,10,wide,1000
3,100,732519,1.476213,1.383604,1190682,10,group,10,wide,1000
4,20,16410,0.090471,0.048369,33371,10,group,10,wide,1000
4,40,128868,0.234975,0.183251,220193,10,group,10,wide,1000
4,60,224902,0.463487,0.391709,397614,10,group,10,wide,1000
4,80,432535,0.78585,0.708089,720554,10,group,10,wide,1000
4,100,665187,1.41115,1.315798,1154352,10,group,10,wide,1000
5,20,17535,0.071965,0.036223,38571,10,group,10,wide,1000
5,40,128046,0.282109,0.217015,195110,10,group,10,wide,1000
5,60,185665,0.584211,0.516283,387511,10,group,10,wide,1000
5,80,428759,0.931713,0.857712,729204,10,group,10,wide,1000
5,100,785418,1.219169,1.127028,1263282,10,group,10,wide,1000
6,20,29459,0.108165,0.064011,56041,10,group,10,wide,1000
6,40,97483,0.234029,0.169045,167237,10,group,10,wide,1000
6,60,192738,0.533294,0.45817,363530,10,group,10,wide,1000
6,80,454022,0.708368,0.63364,737548,10,group,10,wide,1000
6,100,659249,1.550467,1.468077,1200197,10,group,10,wide,1000
7,20,13423,0.074517,0.034032,29518,10,group,10,wide,1000
7,40,71341,0.317408,0.250751,157708,10,group,10,wide,1000
7,60,200865,0.5583,0.496155,372279,10,group,10,wide,1000
7,80,465597,1.00807,0.928814,767081,10,group,10,wide,1000
7,100,531741,1.607219,1.523923,1144257,10,group,10,wide,1000
8,20,23973,0.096093,0.042991,40863,10,group,10,wide,1000
8,40,124428,0.299762,0.250021,206344,10,group,10,wide,1000
8,60,303319,0.542776,0.475505,533928,10,group,10,wide,1000
8,80,478956,1.150709,1.074835,771871,10,group,10,wide,1000
8,100,645635,2.107724,2.016212,1087236,10,group,10,wide,1000
9,20,32950,0.058512,0.016737,46934,10,group,10,wide,1000
9,40,98621,0.333366,0.282866,188342,10,group,10,wide,1000
9,60,282178,0.54603,0.483542,459249,10,group,10,wide,1000
9,80,352522,0.562953,0.488332,695947,10,group,10,wide,1000
9,100,736807,1.491366,1.399257,1228347,10,group,10,wide,1000
