rep,n,best_fit,time_taken,time_till_best,initial_fitness,time_limit_s,initial,initial_size,neighbor,no_impro_iter
0,20,18703,0.019688,0.007673,46708,10,single,,close,1000
0,20,26997,0.017976,0.006367,45541,10,group,10.0,close,1000
0,20,19417,0.007164,0.007164,24522,10,group,100.0,close,1000
0,20,20615,0.0332,0.032678,29223,10,group,1000.0,close,1000
0,20,36053,0.269439,0.254761,41843,10,group,10000.0,close,1000
0,40,101481,0.029308,0.015626,176350,10,single,,close,1000
0,40,103633,0.015017,0.01151,183401,10,group,10.0,close,1000
0,40,118378,0.031251,0.01563,162538,10,group,100.0,close,1000
0,40,72347,0.03858,0.03858,115738,10,group,1000.0,close,1000
0,40,111225,0.300782,0.283853,151147,10,group,10000.0,close,1000
0,60,154082,0.069219,0.052146,335648,10,single,,close,1000
0,60,279641,0.077668,0.065683,496198,10,group,10.0,close,1000
0,60,284552,0.048749,0.033124,423888,10,group,100.0,close,1000
0,60,255031,0.092997,0.087981,409358,10,group,1000.0,close,1000
0,60,270211,0.337688,0.319135,392696,10,group,10000.0,close,1000
0,80,421084,0.111094,0.096486,692693,10,single,,close,1000
0,80,461547,0.163568,0.149935,801812,10,group,10.0,close,1000
0,80,439689,0.142714,0.127047,673656,10,group,100.0,close,1000
0,80,469948,0.16994,0.150326,720824,10,group,1000.0,close,1000
0,80,601906,0.515865,0.496704,844199,10,group,10000.0,close,1000
0,100,543698,0.315695,0.285298,1089537,10,single,,close,1000
0,100,732409,0.214842,0.180117,1232011,10,group,10.0,close,1000
0,100,720871,0.217018,0.197709,1111181,10,group,100.0,close,1000
0,100,637809,0.247372,0.230829,1065604,10,group,1000.0,close,1000
0,100,665113,0.616897,0.585874,1070635,10,group,10000.0,close,1000
1,20,17563,0.000541,0.000541,43957,10,single,,close,1000
1,20,33550,0.018366,0.0,59687,10,group,10.0,close,1000
1,20,15749,0.012984,0.0,22763,10,group,100.0,close,1000
