rep,n,best_fit,time_taken,time_till_best,initial_fitness,time_limit_s,initial,initial_size,neighbor,no_impro_iter
0,20,19623,0.015646,0.00532,30040,10,group,100,close,1000
0,20,11602,0.044845,0.03031,25879,10,group,100,wide,1000
0,40,119062,0.033931,0.018228,195984,10,group,100,close,1000
0,40,88564,0.081531,0.062944,137871,10,group,100,wide,1000
0,60,313723,0.077408,0.061819,460695,10,group,100,close,1000
0,60,211533,0.152678,0.129634,358606,10,group,100,wide,1000
0,80,421162,0.177919,0.158762,669471,10,group,100,close,1000
0,80,584876,0.247258,0.217706,874546,10,group,100,wide,1000
0,100,597030,0.248897,0.219495,1094295,10,group,100,close,1000
0,100,700028,0.436013,0.403482,1119463,10,group,100,wide,1000
1,20,27369,0.016432,0.0,37721,10,group,100,close,1000
1,20,25693,0.017055,0.014361,37561,10,group,100,wide,1000
1,40,107340,0.033719,0.031021,166191,10,group,100,close,1000
1,40,91086,0.082759,0.065106,141170,10,group,100,wide,1000
1,60,250031,0.063675,0.04713,387233,10,group,100,close,1000
1,60,189473,0.167711,0.134485,331651,10,group,100,wide,1000
1,80,443946,0.118898,0.099797,735928,10,group,100,close,1000
1,80,555346,0.313086,0.297827,802604,10,group,100,wide,1000
1,100,776281,0.250697,0.216904,1318358,10,group,100,close,1000
1,100,729540,0.481646,0.448451,1237807,10,group,100,wide,1000
2,20,16467,0.0,0.0,27873,10,group,100,close,1000
2,20,31188,0.033091,0.019078,45068,10,group,100,wide,1000
2,40,95780,0.032775,0.016869,175553,10,group,100,close,1000
2,40,109087,0.064837,0.051243,164632,10,group,100,wide,1000
2,60,256117,0.067518,0.050581,430126,10,group,100,close,1000
2,60,208928,0.166612,0.13678,384250,10,group,100,wide,1000
2,80,492224,0.115609,0.096366,824528,10,group,100,close,1000
2,80,512771,0.250158,0.217194,838511,10,group,100,wide,1000
2,100,631475,0.204763,0.183437,1115305,10,group,100,close,1000
2,100,724362,0.609932,0.578227,1195230,10,group,100,wide,1000
3,20,8131,0.016498,0.0,18488,10,group,100,close,1000
3,20,16388,0.02637,0.012075,26576,10,group,100,wide,1000
3,40,134850,0.022198,0.017325,201554,10,group,100,close,1000
3,40,109412,0.079221,0.064268,168072,10,group,100,wide,1000
3,60,236949,0.081385,0.068001,389892,10,group,100,close,1000
3,60,216294,0.180773,0.160738,371304,10,group,100,wide,1000
3,80,504190,0.116443,0.102166,816634,10,group,100,close,1000
3,80,442823,0.300697,0.266652,693887,10,group,100,wide,1000
3,100,585985,0.217382,0.206993,1079081,10,group,100,close,1000
3,100,662573,0.50023,0.471682,1110518,10,group,100,wide,1000
4,20,19826,0.013179,0.0,34257,10,group,100,close,1000
4,20,24740,0.029713,0.015601,34751,10,group,100,wide,1000
4,40,112818,0.026418,0.016931,168099,10,group,100,close,1000
4,40,134095,0.157366,0.07421,185940,10,group,100,wide,1000
4,60,240111,0.112859,0.097229,393999,10,group,100,close,1000
4,60,284526,0.172493,0.151364,426149,10,group,100,wide,1000
4,80,484403,0.111603,0.10235,788298,10,group,100,close,1000
4,80,456015,0.347052,0.315805,823208,10,group,100,wide,1000
4,100,722815,0.261933,0.235714,1182792,10,group,100,close,1000
4,100,655055,0.431353,0.402047,1009358,10,group,100,wide,1000
