rep,n,best_fit,time_taken,time_till_best,initial_fitness,T0,alpha,beta,time_limit_s,cooling,initial,initial_size,iter_till_reduction,neighbor,no_impro_iter
0,20,20063,0.481867,0.032006,24477,1.5,0.99,,10,geometric,group,10,1,wide,10000
0,40,141326,1.442591,0.860719,218865,1.5,0.99,,10,geometric,group,10,1,wide,10000
0,60,190366,1.287862,0.591715,363380,1.5,0.99,,10,geometric,group,10,1,wide,10000
0,80,434722,2.567649,1.7178,737172,1.5,0.99,,10,geometric,group,10,1,wide,10000
0,100,688237,4.309175,3.391622,1324004,1.5,0.99,,10,geometric,group,10,1,wide,10000
1,20,27335,0.46534,0.032066,51973,1.5,0.99,,10,geometric,group,10,1,wide,10000
1,40,96705,0.733326,0.172784,177544,1.5,0.99,,10,geometric,group,10,1,wide,10000
1,60,200230,1.333155,0.683134,344900,1.5,0.99,,10,geometric,group,10,1,wide,10000
1,80,506916,2.929752,2.100213,801511,1.5,0.99,,10,geometric,group,10,1,wide,10000
1,100,766391,3.978119,3.07625,1285560,1.5,0.99,,10,geometric,group,10,1,wide,10000
2,20,19387,0.498055,0.031156,30893,1.5,0.99,,10,geometric,group,10,1,wide,10000
2,40,119789,0.731231,0.147521,213615,1.5,0.99,,10,geometric,group,10,1,wide,10000
2,60,306420,1.646244,0.938988,512278,1.5,0.99,,10,geometric,group,10,1,wide,10000
2,80,391930,2.967498,2.185201,754082,1.5,0.99,,10,geometric,group,10,1,wide,10000
2,100,862330,3.117232,2.234469,1376875,1.5,0.99,,10,geometric,group,10,1,wide,10000
3,20,23210,0.540942,0.057546,41743,1.5,0.99,,10,geometric,group,10,1,wide,10000
3,40,86135,0.946271,0.2834,152689,1.5,0.99,,10,geometric,group,10,1,wide,10000
3,60,243901,1.434203,0.786448,421326,1.5,0.99,,10,geometric,group,10,1,wide,10000
3,80,488895,2.141794,1.34925,795887,1.5,0.99,,10,geometric,group,10,1,wide,10000
3,100,706983,3.624789,2.742421,1197488,1.5,0.99,,10,geometric,group,10,1,wide,10000
4,20,22406,0.492427,0.03446,37577,1.5,0.99,,10,geometric,group,10,1,wide,10000
4,40,146293,0.725174,0.16689,240064,1.5,0.99,,10,geometric,group,10,1,wide,10000
4,60,214166,1.340436,0.657091,395536,1.5,0.99,,10,geometric,group,10,1,wide,10000
4,80,493974,2.386713,1.633651,811553,1.5,0.99,,10,geometric,group,10,1,wide,10000
4,100,764075,3.458272,2.585928,1390931,1.5,0.99,,10,geometric,group,10,1,wide,10000
5,20,31381,0.494426,0.043862,45046,1.5,0.99,,10,geometric,group,10,1,wide,10000
5,40,99171,0.81649,0.216724,157113,1.5,0.99,,10,geometric,group,10,1,wide,10000
5,60,211574,1.466063,0.791726,371381,1.5,0.99,,10,geometric,group,10,1,wide,10000
5,80,423987,2.715519,1.892197,787827,1.5,0.99,,10,geometric,group,10,1,wide,10000
5,100,710348,3.785162,2.920471,1165450,1.5,0.99,,10,geometric,group,10,1,wide,10000
6,20,15536,0.491389,0.025291,29914,1.5,0.99,,10,geometric,group,10,1,wide,10000
6,40,79047,0.820372,0.250005,141004,1.5,0.99,,10,geometric,group,10,1,wide,10000
6,60,262508,1.289423,0.639607,483146,1.5,0.99,,10,geometric,group,10,1,wide,10000
6,80,549504,2.909455,2.04187,943482,1.5,0.99,,10,geometric,group,10,1,wide,10000
6,100,668111,4.00514,3.147198,1117720,1.5,0.99,,10,geometric,group,10,1,wide,10000
7,20,14932,0.475295,0.03051,25175,1.5,0.99,,10,geometric,group,10,1,wide,10000
7,40,103530,0.764488,0.210302,183810,1.5,0.99,,10,geometric,group,10,1,wide,10000
7,60,307937,1.426338,0.768024,464952,1.5,0.99,,10,geometric,group,10,1,wide,10000
7,80,476224,1.825114,1.065134,919961,1.5,0.99,,10,geometric,group,10,1,wide,10000
7,100,758708,4.099916,3.182838,1323383,1.5,0.99,,10,geometric,group,10,1,wide,10000
8,20,20974,0.491293,0.05026,35221,1.5,0.99,,10,geometric,group,10,1,wide,10000
8,40,138757,1.149427,0.490753,191546,1.5,0.99,,10,geometric,group,10,1,wide,10000
8,60,243480,1.559549,0.900144,422484,1.5,0.99,,10,geometric,group,10,1,wide,10000
8,80,438436,2.244532,1.482612,760914,1.5,0.99,,10,geometric,group,10,1,wide,10000
8,100,751121,3.834436,2.876376,1315635,1.5,0.99,,10,geometric,group,10,1,wide,10000
9,20,16984,0.567001,0.059976,33165,1.5,0.99,,10,geometric,group,10,1,wide,10000
9,40,116065,0.85057,0.17654,180515,1.5,0.99,,10,geometric,group,10,1,wide,10000
9,60,246901,1.466367,0.675091,418256,1.5,0.99,,10,geometric,group,10,1,wide,10000
9,80,376167,2.083843,1.28328,682144,1.5,0.99,,10,geometric,group,10,1,wide,10000
9,100,582117,5.39975,4.499436,1138010,1.5,0.99,,10,geometric,group,10,1,wide,10000
