rep,n,best_fit,time_taken,time_till_best,initial_fitness,T0,alpha,beta,time_limit_s,cooling,initial,initial_size,iter_till_reduction,neighbor,no_impro_iter
0,20,18713,0.255589,0.013933,37350,1,0.9,,10,geometric,single,,1,close,10000
0,20,26050,0.241614,0.008364,48016,1,0.9,,10,geometric,group,10.0,1,close,10000
0,20,18121,0.23408,0.008002,27087,1,0.9,,10,geometric,group,100.0,1,close,10000
0,20,21940,0.285486,0.050285,28754,1,0.9,,10,geometric,group,1000.0,1,close,10000
0,20,10283,0.661733,0.444016,16645,1,0.9,,10,geometric,group,10000.0,1,close,10000
0,40,92582,0.367082,0.057834,195149,1,0.9,,10,geometric,single,,1,close,10000
0,40,108582,0.379505,0.052458,213514,1,0.9,,10,geometric,group,10.0,1,close,10000
0,40,115347,0.376333,0.050798,170571,1,0.9,,10,geometric,group,100.0,1,close,10000
0,40,99528,0.415998,0.100055,145270,1,0.9,,10,geometric,group,1000.0,1,close,10000
0,40,91348,0.95756,0.641028,120975,1,0.9,,10,geometric,group,10000.0,1,close,10000
0,60,251764,0.574019,0.158417,471707,1,0.9,,10,geometric,single,,1,close,10000
0,60,239476,0.583722,0.166194,415113,1,0.9,,10,geometric,group,10.0,1,close,10000
0,60,269452,0.634561,0.157646,423493,1,0.9,,10,geometric,group,100.0,1,close,10000
0,60,240028,0.640918,0.221241,377210,1,0.9,,10,geometric,group,1000.0,1,close,10000
0,60,244348,1.458958,1.018599,377847,1,0.9,,10,geometric,group,10000.0,1,close,10000
0,80,386571,0.908233,0.375603,742461,1,0.9,,10,geometric,single,,1,close,10000
0,80,593017,0.902154,0.384543,914464,1,0.9,,10,geometric,group,10.0,1,close,10000
0,80,508326,0.897864,0.339995,824802,1,0.9,,10,geometric,group,100.0,1,close,10000
0,80,417770,1.016794,0.475363,615021,1,0.9,,10,geometric,group,1000.0,1,close,10000
0,80,459574,1.845286,1.350584,703922,1,0.9,,10,geometric,group,10000.0,1,close,10000
0,100,673230,1.310148,0.715903,1439677,1,0.9,,10,geometric,single,,1,close,10000
0,100,739343,1.173719,0.556937,1274313,1,0.9,,10,geometric,group,10.0,1,close,10000
0,100,749309,1.25204,0.640789,1240197,1,0.9,,10,geometric,group,100.0,1,close,10000
0,100,559504,1.349614,0.756387,1023377,1,0.9,,10,geometric,group,1000.0,1,close,10000
0,100,658110,2.147751,1.56384,1033495,1,0.9,,10,geometric,group,10000.0,1,close,10000
1,20,19487,0.21693,0.008215,40445,1,0.9,,10,geometric,single,,1,close,10000
1,20,14099,0.216493,0.00802,32898,1,0.9,,10,geometric,group,10.0,1,close,10000
1,20,33083,0.226464,0.008017,39142,1,0.9,,10,geometric,group,100.0,1,close,10000
1,20,12178,0.257658,0.048304,21142,1,0.9,,10,geometric,group,1000.0,1,close,10000
1,20,18099,0.665842,0.443117,24395,1,0.9,,10,geometric,group,10000.0,1,close,10000
1,40,136817,0.36814,0.067626,269134,1,0.9,,10,geometric,single,,1,close,10000
1,40,113115,0.349074,0.041355,183050,1,0.9,,10,geometric,group,10.0,1,close,10000
1,40,113452,0.358228,0.049506,189693,1,0.9,,10,geometric,group,100.0,1,close,10000
1,40,107423,0.400145,0.092082,155092,1,0.9,,10,geometric,group,1000.0,1,close,10000
1,40,120469,0.969719,0.663233,153348,1,0.9,,10,geometric,group,10000.0,1,close,10000
1,60,270075,0.539787,0.140114,551965,1,0.9,,10,geometric,single,,1,close,10000
1,60,272234,0.55056,0.149682,481136,1,0.9,,10,geometric,group,10.0,1,close,10000
1,60,221116,0.530592,0.107932,342662,1,0.9,,10,geometric,group,100.0,1,close,10000
1,60,277901,0.624335,0.216205,419463,1,0.9,,10,geometric,group,1000.0,1,close,10000
1,60,281153,1.459289,1.051518,426190,1,0.9,,10,geometric,group,10000.0,1,close,10000
1,80,549518,0.825491,0.341959,911336,1,0.9,,10,geometric,single,,1,close,10000
1,80,465230,0.857828,0.348775,858670,1,0.9,,10,geometric,group,10.0,1,close,10000
1,80,354452,0.825018,0.333675,664076,1,0.9,,10,geometric,group,100.0,1,close,10000
1,80,426830,0.880963,0.375637,659177,1,0.9,,10,geometric,group,1000.0,1,close,10000
