rep,n,best_fit,time_taken,time_till_best,initial_fitness,T0,alpha,beta,time_limit_s,cooling,initial,initial_size,iter_till_reduction,neighbor,no_impro_iter
0,20,27183,0.332933,0.027664,40484,1,0.9,,10,geometric,group,100,1,close,10000
0,20,14015,0.483413,0.024022,23697,1,0.9,,10,geometric,group,100,1,wide,10000
0,40,74831,0.373674,0.049611,112369,1,0.9,,10,geometric,group,100,1,close,10000
0,40,105818,0.773009,0.146696,146238,1,0.9,,10,geometric,group,100,1,wide,10000
0,60,271827,0.600736,0.199271,424160,1,0.9,,10,geometric,group,100,1,close,10000
0,60,255764,1.507984,0.811959,405117,1,0.9,,10,geometric,group,100,1,wide,10000
0,80,546822,0.893799,0.334511,803688,1,0.9,,10,geometric,group,100,1,close,10000
0,80,379139,1.965106,1.157859,683411,1,0.9,,10,geometric,group,100,1,wide,10000
0,100,736696,1.240391,0.566442,1225018,1,0.9,,10,geometric,group,100,1,close,10000
0,100,677192,4.108578,3.16306,1154945,1,0.9,,10,geometric,group,100,1,wide,10000
1,20,22619,0.250867,0.009321,36649,1,0.9,,10,geometric,group,100,1,close,10000
1,20,14157,0.522833,0.072714,21891,1,0.9,,10,geometric,group,100,1,wide,10000
1,40,64803,0.400889,0.052148,126727,1,0.9,,10,geometric,group,100,1,close,10000
1,40,113719,0.832965,0.277082,159160,1,0.9,,10,geometric,group,100,1,wide,10000
1,60,256684,0.608884,0.14223,420619,1,0.9,,10,geometric,group,100,1,close,10000
1,60,231554,1.493847,0.792877,350915,1,0.9,,10,geometric,group,100,1,wide,10000
1,80,362815,0.914629,0.368977,627902,1,0.9,,10,geometric,group,100,1,close,10000
1,80,444482,2.408639,1.574796,705049,1,0.9,,10,geometric,group,100,1,wide,10000
1,100,535958,1.38696,0.763748,933309,1,0.9,,10,geometric,group,100,1,close,10000
1,100,650324,3.424985,2.501732,1123246,1,0.9,,10,geometric,group,100,1,wide,10000
2,20,28626,0.225917,0.008846,37658,1,0.9,,10,geometric,group,100,1,close,10000
2,20,25708,0.515928,0.049273,39351,1,0.9,,10,geometric,group,100,1,wide,10000
2,40,122057,0.383487,0.053085,191460,1,0.9,,10,geometric,group,100,1,close,10000
2,40,115281,0.782317,0.192258,181402,1,0.9,,10,geometric,group,100,1,wide,10000
2,60,204784,0.536632,0.123768,318623,1,0.9,,10,geometric,group,100,1,close,10000
2,60,212698,1.592155,0.900207,392631,1,0.9,,10,geometric,group,100,1,wide,10000
2,80,541303,0.860094,0.342434,807960,1,0.9,,10,geometric,group,100,1,close,10000
2,80,395482,2.255372,1.457999,683328,1,0.9,,10,geometric,group,100,1,wide,10000
2,100,834744,1.215521,0.614904,1296552,1,0.9,,10,geometric,group,100,1,close,10000
2,100,772578,3.873837,2.949149,1291123,1,0.9,,10,geometric,group,100,1,wide,10000
3,20,39151,0.224803,0.008764,47697,1,0.9,,10,geometric,group,100,1,close,10000
3,20,19823,0.483067,0.035079,28592,1,0.9,,10,geometric,group,100,1,wide,10000
3,40,90513,0.352081,0.035165,156788,1,0.9,,10,geometric,group,100,1,close,10000
3,40,109825,0.827785,0.254567,175576,1,0.9,,10,geometric,group,100,1,wide,10000
3,60,282715,0.572215,0.183795,453482,1,0.9,,10,geometric,group,100,1,close,10000
3,60,243531,1.348236,0.678117,425966,1,0.9,,10,geometric,group,100,1,wide,10000
3,80,494719,0.865951,0.357745,746052,1,0.9,,10,geometric,group,100,1,close,10000
3,80,449378,1.926693,1.134116,719218,1,0.9,,10,geometric,group,100,1,wide,10000
3,100,659023,1.184006,0.583067,1066373,1,0.9,,10,geometric,group,100,1,close,10000
3,100,646851,4.565892,3.6326,1186415,1,0.9,,10,geometric,group,100,1,wide,10000
4,20,25619,0.358615,0.008598,37152,1,0.9,,10,geometric,group,100,1,close,10000
4,20,25629,0.492857,0.033048,46237,1,0.9,,10,geometric,group,100,1,wide,10000
4,40,110966,0.366647,0.048707,161967,1,0.9,,10,geometric,group,100,1,close,10000
4,40,110339,0.846061,0.24142,178901,1,0.9,,10,geometric,group,100,1,wide,10000
4,60,216487,0.548273,0.141538,317561,1,0.9,,10,geometric,group,100,1,close,10000
4,60,281689,1.671565,1.029626,422038,1,0.9,,10,geometric,group,100,1,wide,10000
4,80,460789,0.917244,0.391527,795827,1,0.9,,10,geometric,group,100,1,close,10000
4,80,475358,2.123731,1.349246,819563,1,0.9,,10,geometric,group,100,1,wide,10000
4,100,866006,1.267892,0.609248,1263208,1,0.9,,10,geometric,group,100,1,close,10000
4,100,661346,3.066294,2.191285,1094005,1,0.9,,10,geometric,group,100,1,wide,10000
