iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
100,0,0,22715.690000000002,9847,302169,9847
100,0,1,21292.32,9197,289832,9197
100,0,2,22777.68,9900,297768,9900
100,0,3,22189.39,9614,296139,9614
100,0,4,22397.83,9703,299183,9703
100,0,5,24153.79,10705,274379,10705
100,0,6,24031.93,10494,304393,10494
100,0,7,23081.77,10063,295577,10063
100,0,8,23074.58,10089,289658,10089
100,0,9,22395.67,9728,293967,9728
100,1,0,22659.010000000002,9772,311501,9772
100,1,1,22787.23,9841,310523,9841
100,1,2,23372.85,10134,310485,10134
100,1,3,23951.52,10399,315352,10399
100,1,4,23317.809999999998,10061,319581,10061
100,1,5,23680.1,10284,311210,10284
100,1,6,23535.12,10280,297512,10280
100,1,7,23140.510000000002,10081,297851,10081
100,1,8,23538.82,10216,310682,10216
100,1,9,24785.89,10787,321189,10787
100,2,0,19129.79,8399,233179,8399
100,2,1,18790.78,8179,243278,8179
100,2,2,20752.09,9094,256409,9094
100,2,3,19389.43,8499,239143,8499
100,2,4,18374.34,7901,257234,7901
100,2,5,19107.41,8399,230941,8399
100,2,6,20208.05,8920,236805,8920
100,2,7,19537.6,8525,248760,8525
100,2,8,20838.68,9243,235268,9243
100,2,9,21015.559999999998,9252,251156,9252
100,3,0,23140.010000000002,10068,300401,10068
100,3,1,21789.87,9513,276387,9513
100,3,2,23279.03,10182,291503,10182
100,3,3,22047.36,9638,277136,9638
100,3,4,20728.4,8970,278840,8970
100,3,5,22370.77,9697,297677,9697
100,3,6,22313.35,9630,305335,9630
100,3,7,22395.82,9766,286382,9766
100,3,8,22584.440000000002,9823,293844,9823
100,3,9,23403.2,10284,283520,10284
100,4,0,24418.91,10737,294491,10737
100,4,1,25565.34,11342,288134,11342
100,4,2,25196.85,11135,292685,11135
100,4,3,25009.96,10932,314596,10932
100,4,4,23623.440000000002,10354,291544,10354
100,4,5,22961.65,10063,283565,10063
100,4,6,23019.64,10055,290964,10055
100,4,7,22531.85,9761,300985,9761
100,4,8,23871.64,10333,320564,10333
100,4,9,23759.72,10444,287172,10444
100,5,0,21841.7,9411,301970,9411
100,5,1,21445.03,9144,315703,9144
100,5,2,22895.059999999998,10016,286306,10016
100,5,3,22892.61,9992,290861,9992
100,5,4,22891.85,9935,302185,9935
100,5,5,23560.64,10225,311064,10225
100,5,6,24071.559999999998,10636,279956,10636
100,5,7,23382.059999999998,10289,280406,10289
100,5,8,22676.48,9883,291048,9883
100,5,9,20692.559999999998,8815,306256,8815
100,6,0,22786.47,9941,290447,9941
100,6,1,21842.25,9396,305025,9396
100,6,2,23500.89,10239,302289,10239
100,6,3,21852.02,9476,290002,9476
100,6,4,23336.809999999998,10211,291481,10211
100,6,5,22555.89,9710,313589,9710
100,6,6,22574.75,9703,316875,9703
